We adjusted product quantities to fit the required increments.,We adjusted product quantities to fit the required increments.
Edit,Edit
View,View
Subscription Options,Subscription Options
Subscription Name,Subscription Name
Subscription Profile # %1,Subscription Profile # %1
Subscription Status,Subscription Status
Subscription Frequency,Subscription Frequency
Subscription Started Date,Subscription Started Date
Last Renewed,Last Renewed
Customer Information,Customer Information
Edit Customer,Edit Customer
Customer Name,Customer Name
Email,Email
Subscription Billing Count,Subscription Billing Count
Purchased From,Purchased From
Subscription Address Information,Subscription Address Information
Credit Card Type,Credit Card Type
Credit Card Number,Credit Card Number
Payment Information,Payment Information
Shipping & Handling Information,Shipping & Handling Information
Item Subscribed,Item Subscribed
Product,Product
Original Price,Original Price
Price,Price
Initial Fee,Initial Fee
Qty,Qty
Subtotal,Subtotal
Row Total,Row Total
SKU:,SKU:
Subscribed,Subscribed
Note: Any Change in Subscription will affect next run,Note: Any Change in Subscription will affect next run
Reactivate,Reactivate
Subscription Profile,Subscription Profile
Subscription Cycle,Subscription Cycle
- Times Billed,- Times Billed
0 - Times Billed,0 - Times Billed
Next Renewal,Next Renewal
Subscription Item Details,Subscription Item Details
Product Name,Product Name
Quantity,Quantity
Card Details,Card Details
Select Card,Select Card
Select Shipping Address,Select Shipping Address
Shipping Method,Shipping Method
Select Billing Address,Select Billing Address
Payment Method,Payment Method
Update Subscription,Update Subscription
Subscription Note,Subscription Note
You can stop subscription at any time by pausing or cancelling the subscription,You can stop subscription at any time by pausing or cancelling the subscription
Profile #,Profile #
Purchase Date,Purchase Date
Last Renewed Date,Last Renewed Date
Ship To,Ship To
Status,Status
Action,Action
Order Total,Order Total
You have no subscription profiles,You have no subscription profiles
Non Subscription Items,Non Subscription Items
Item,Item
Subscription Items,Subscription Items
Continue Shopping,Continue Shopping
Clear Shopping Cart,Clear Shopping Cart
Update Shopping Cart,Update Shopping Cart
Print This Page,Print This Page
Compare Products,Compare Products
Remove Product,Remove Product
Add to Cart,Add to Cart
View Details,View Details
In stock,In stock
Out of stock,Out of stock
Add to Wish List,Add to Wish List
You have no items to compare.,You have no items to compare.
sample,sample
Select all,Select all
Unselect all,Unselect all
We can\''t find products matching the selection,We can’t find products matching the selection.
Learn More,Learn More
Edit item parameters,Edit item parameters
Subscription Qty,Subscription Qty
Last Added Items,Last Added Items
Remove This Item,Remove This Item
Go to Wish List,Go to Wish List
You have no items in your wish list.,You have no items in your wish list.
Availability,Availability
Comment,Comment
Continue,Continue
Daily,Daily
Weekly,Weekly
Monthly,Monthly
Yearly,Yearly
Day(s),Day(s)
Week(s),Week(s)
Month(s),Month(s)
Year(s),Year(s)
View Subscription,View Subscription
